occurrence_guid,dataset_guid,who,what,when,where,url
03b967bd-59ca-43c6-95d1-bbe430f40278,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/03b967bd-59ca-43c6-95d1-bbe430f40278,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/03b967bd-59ca-43c6-95d1-bbe430f40278
7c3de805-bc05-4150-bf60-e9956dd7ce06,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/7c3de805-bc05-4150-bf60-e9956dd7ce06,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/7c3de805-bc05-4150-bf60-e9956dd7ce06
6ffc2c3a-6547-4cb7-bf54-3f887484a78f,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/6ffc2c3a-6547-4cb7-bf54-3f887484a78f,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/6ffc2c3a-6547-4cb7-bf54-3f887484a78f
541b52e5-e097-4291-99f1-265aceecc689,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/541b52e5-e097-4291-99f1-265aceecc689,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/541b52e5-e097-4291-99f1-265aceecc689
fe3f4bea-78d5-42cd-9685-436be131eea1,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/fe3f4bea-78d5-42cd-9685-436be131eea1,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/fe3f4bea-78d5-42cd-9685-436be131eea1
5ed19425-963e-4591-8fc9-baa05fdc5789,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/5ed19425-963e-4591-8fc9-baa05fdc5789,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/5ed19425-963e-4591-8fc9-baa05fdc5789
1f8eb6f1-6117-45a5-a57a-b141a00af356,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1989-4-26,http://spcoco.org/ark:/1f8eb6f1-6117-45a5-a57a-b141a00af356,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/1f8eb6f1-6117-45a5-a57a-b141a00af356
64d1b021-f226-479c-bd59-5954fb6eb6c1,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1989-4-26,http://spcoco.org/ark:/64d1b021-f226-479c-bd59-5954fb6eb6c1,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/64d1b021-f226-479c-bd59-5954fb6eb6c1
cf56ab97-7aed-48cf-b38d-697af390d566,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1989-4-26,http://spcoco.org/ark:/cf56ab97-7aed-48cf-b38d-697af390d566,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/cf56ab97-7aed-48cf-b38d-697af390d566
9b8d965a-3dbb-4dda-9eb5-3a53ec17a06e,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-4-23,http://spcoco.org/ark:/9b8d965a-3dbb-4dda-9eb5-3a53ec17a06e,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/9b8d965a-3dbb-4dda-9eb5-3a53ec17a06e
7b83551b-9088-421f-be8c-5fc0b22c4d5a,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/7b83551b-9088-421f-be8c-5fc0b22c4d5a,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/7b83551b-9088-421f-be8c-5fc0b22c4d5a
3d3e10fe-9fee-4114-ad82-d63bda32ea81,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/3d3e10fe-9fee-4114-ad82-d63bda32ea81,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/3d3e10fe-9fee-4114-ad82-d63bda32ea81
